"year","state","avg_house_price"
2011,"IL",111093.62153
2012,"IL",103925.88375
2013,"IL",105860.6272
2014,"IL",114640.32238
2015,"IL",117320.71397
2016,"IL",121552.97673
2017,"IL",127476.57939
2018,"IL",132711.71258
1975,"IN",32613.157924
1976,"IN",34208.248653
1977,"IN",36430.723267
1978,"IN",41576.392759
1979,"IN",45782.553061
1980,"IN",48635.099828
1981,"IN",50644.584395
1982,"IN",50996.766335
1983,"IN",49836.254186
1984,"IN",50000.277629
1985,"IN",52572.043586
1986,"IN",54029.975895
1987,"IN",57460.48473
1988,"IN",59860.055411
1989,"IN",62607.7437
1990,"IN",65778.848008
1991,"IN",67972.198429
1992,"IN",70736.343771
1993,"IN",73886.343035
1994,"IN",77597.006818
1995,"IN",81071.187975
1996,"IN",84698.991973
1997,"IN",87921.022417
1998,"IN",90248.018139
1999,"IN",93921.964326
2000,"IN",97670.331055
2001,"IN",100133.09239
2002,"IN",102712.67127
2003,"IN",104483.71875
2004,"IN",107108.6258
2005,"IN",109615.96505
2006,"IN",112616.81993
2007,"IN",113734.26647
2008,"IN",111756.62996
2009,"IN",105700.57448
2010,"IN",106418.46926
2011,"IN",104116.69433
2012,"IN",103878.34363
2013,"IN",106203.34336
2014,"IN",110408.26622
2015,"IN",114599.63593
2016,"IN",118890.01005
2017,"IN",123849.60873
2018,"IN",133541.66698
1975,"KS",33547.892466
1976,"KS",36281.20413
1977,"KS",39763.578012
1978,"KS",44950.182062
1979,"KS",49878.410963
1980,"KS",54171.424627
1981,"KS",55530.078048
1982,"KS",59173.376851
1983,"KS",57704.89015
1984,"KS",58834.179492
1985,"KS",60080.739473
1986,"KS",60281.350559
1987,"KS",62106.561915
1988,"KS",62977.497582
1989,"KS",63802.740605
1990,"KS",64882.194499
1991,"KS",64594.73195
1992,"KS",65980.061288
1993,"KS",68353.288675
1994,"KS",75174.329941
1995,"KS",76070.745755
1996,"KS",79780.057561
1997,"KS",83129.009931
1998,"KS",87259.774882
1999,"KS",93403.765017
2000,"KS",96814.00818
2001,"KS",100372.55838
2002,"KS",104946.48389
2003,"KS",108995.37647
2004,"KS",112416.18669
2005,"KS",116460.22495
2006,"KS",121177.0884
2007,"KS",123538.66085
2008,"KS",123870.75046
2009,"KS",122382.88377
2010,"KS",122166.85087
2011,"KS",117756.80196
2012,"KS",116291.79239
2013,"KS",119612.29006
2014,"KS",123913.61218
2015,"KS",129819.792
2016,"KS",134577.03038
2017,"KS",140485.20272
2018,"KS",148788.73256
1975,"KY",31462.433172
1976,"KY",33334.302302
1977,"KY",34977.693674
1978,"KY",39176.942762
1979,"KY",43930.41281
1980,"KY",46910.069594
1981,"KY",48102.447702
1982,"KY",47200.884197
1983,"KY",50028.826558
1984,"KY",52186.395171
1985,"KY",52499.598707
1986,"KY",54058.963712
1987,"KY",56838.97343
1988,"KY",59641.908312
1989,"KY",62365.196794
1990,"KY",64885.603663
1991,"KY",66456.796095
1992,"KY",68725.38042
1993,"KY",71821.757053
1994,"KY",75361.757879
1995,"KY",79178.191248
1996,"KY",82033.174469
1997,"KY",85717.713342
1998,"KY",88552.0708
1999,"KY",92475.418973
2000,"KY",97194.268644
2001,"KY",100160.80278
2002,"KY",103363.9765
2003,"KY",107062.12747
2004,"KY",111591.93049
2005,"KY",116558.39887
2006,"KY",121414.47478
2007,"KY",123030.14506
2008,"KY",122942.81567
2009,"KY",120239.75345
2010,"KY",120562.39025
2011,"KY",117349.16265
2012,"KY",116445.22591
2013,"KY",118369.35538
2014,"KY",122167.38669
2015,"KY",126273.0641
2016,"KY",131549.40078
2017,"KY",137290.48225
2018,"KY",145140.25023
1975,"LA",33032.575459
1976,"LA",36774.761622
1977,"LA",40085.930098
1978,"LA",46369.73958
1979,"LA",54811.815162
1980,"LA",61441.14053
1981,"LA",63799.771123
1982,"LA",69817.078464
1983,"LA",70553.52865
1984,"LA",73289.254236
1985,"LA",70373.20793
1986,"LA",69008.193815
1987,"LA",67152.499391
1988,"LA",63714.14405
1989,"LA",61421.970886
1990,"LA",62853.921081
1991,"LA",62845.493875
1992,"LA",67589.328324
1993,"LA",70177.893235
1994,"LA",75228.191122
1995,"LA",77640.678237
1996,"LA",81997.39209
1997,"LA",85831.953381
1998,"LA",89204.860781
1999,"LA",93761.76672
2000,"LA",97110.653801
2001,"LA",100203.95501
2002,"LA",103890.83558
2003,"LA",108817.16566
2004,"LA",114724.60946
2005,"LA",122349.66455
2006,"LA",136399.67569
2007,"LA",144237.94825
2008,"LA",144362.17133
2009,"LA",139973.22429
2010,"LA",139231.11962
2011,"LA",137850.71454
2012,"LA",135790.43914
2013,"LA",140583.99726
2014,"LA",144803.14434
2015,"LA",148666.48634
2016,"LA",154296.65179
2017,"LA",160411.27059
2018,"LA",164937.6717
1975,"MA",15842.834632
1976,"MA",15801.535716
1977,"MA",16712.789954
1978,"MA",17585.449028
1979,"MA",20616.140131
1980,"MA",22824.313629
1981,"MA",25514.856505
1982,"MA",27640.445852
1983,"MA",29096.94169
1984,"MA",34223.396795
1985,"MA",41942.182342
1986,"MA",54530.414727
1987,"MA",65554.682571
1988,"MA",70640.239423
1989,"MA",71817.200358
1990,"MA",71690.304513
1991,"MA",65244.396559
1992,"MA",63143.597645
1993,"MA",60965.235433
1994,"MA",60721.745376
1995,"MA",62457.513904
1996,"MA",63524.315284
1997,"MA",66392.526908
1998,"MA",70623.54815
1999,"MA",77927.553094
2000,"MA",88534.802686
2001,"MA",101203.76595
2002,"MA",112190.33848
2003,"MA",127815.11145
2004,"MA",139686.99343
2005,"MA",151867.35566
2006,"MA",154304.34434
2007,"MA",148005.01469
2008,"MA",140960.34718
2009,"MA",132509.67559
2010,"MA",133475.98263
2011,"MA",129712.35842
2012,"MA",126078.51941
2013,"MA",130732.64008
2014,"MA",140122.30378
2015,"MA",144756.5326
2016,"MA",152478.80323
2017,"MA",162256.61241
2018,"MA",173415.49655
1975,"MD",26711.179181
1976,"MD",28654.749861
1977,"MD",30712.813742
1978,"MD",33759.690306
1979,"MD",37096.733301
1980,"MD",41168.019461
1981,"MD",45224.001194
1982,"MD",47816.260767
1983,"MD",46733.776604
1984,"MD",49261.578252
1985,"MD",52284.107022
1986,"MD",55269.575531
1987,"MD",61045.391596
1988,"MD",68688.168087
1989,"MD",76714.157937
1990,"MD",82323.961489
1991,"MD",82441.106016
1992,"MD",84011.463671
1993,"MD",83266.014374
1994,"MD",83301.191627
1995,"MD",84466.782143
1996,"MD",83949.994482
1997,"MD",84325.660122
1998,"MD",84949.303573
1999,"MD",88403.024707
2000,"MD",93697.273088
2001,"MD",100893.74339
2002,"MD",111380.31563
2003,"MD",128041.19567
2004,"MD",148816.56043
2005,"MD",177965.59345
2006,"MD",206792.58856
2007,"MD",209368.81276
2008,"MD",197343.10144
2009,"MD",171539.911
2010,"MD",164138.42483
2011,"MD",157465.14292
2012,"MD",153270.26392
2013,"MD",161011.16098
2014,"MD",168682.5779
2015,"MD",169462.66376
2016,"MD",173330.45139
2017,"MD",180088.1766
2018,"MD",189961.76105
1975,"ME",28027.323925
1976,"ME",28999.225109
1977,"ME",27570.369032
1978,"ME",32457.478319
1979,"ME",37744.459085
1980,"ME",36382.246151
1981,"ME",37898.040813
1982,"ME",40738.350681
1983,"ME",39231.645895
1984,"ME",45211.380592
1985,"ME",50262.105751
1986,"ME",57906.5139
1987,"ME",66963.514174
1988,"ME",77758.487519
1989,"ME",83190.31565
1990,"ME",85041.654238
1991,"ME",80293.06135
1992,"ME",78542.000932
1993,"ME",75903.738521
1994,"ME",75265.07332
1995,"ME",74371.130973
1996,"ME",76113.096583
1997,"ME",78314.511068
1998,"ME",80849.212228
1999,"ME",84923.151989
2000,"ME",92411.873977
2001,"ME",100813.73318
2002,"ME",110882.8712
2003,"ME",124503.70368
2004,"ME",138873.73642
2005,"ME",152592.08799
2006,"ME",162836.08732
2007,"ME",160481.34616
2008,"ME",158254.55207
2009,"ME",150661.32181
2010,"ME",145965.86736
2011,"ME",143416.52744
2012,"ME",141088.02384
2013,"ME",144404.3628
2014,"ME",146842.68832
2015,"ME",149315.05913
2016,"ME",156018.09752
2017,"ME",165081.55869
2018,"ME",174922.61557
1975,"MI",24617.765114
1976,"MI",25303.324929
1977,"MI",26738.33198
1978,"MI",29819.43088
1979,"MI",34904.27355
1980,"MI",38074.508625
1981,"MI",38916.725177
1982,"MI",40448.875827
1983,"MI",36108.033468
1984,"MI",38384.773999
1985,"MI",39121.491465
1986,"MI",41078.889445
1987,"MI",45159.804971
1988,"MI",48768.587801
1989,"MI",52225.089396
1990,"MI",55628.854948
1991,"MI",57762.995511
1992,"MI",59779.752946
1993,"MI",61867.75286
1994,"MI",63940.211229
1995,"MI",68384.841287
1996,"MI",73177.933869
1997,"MI",78639.246911
1998,"MI",83452.971097
1999,"MI",88625.253002
2000,"MI",95305.261942
2001,"MI",100255.89047
